url,status_code,content_type,last_modified,content_length,size,referrer,timestamp
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-j-verso/smthumb@2x/,200,image/jpeg,,8596,8596,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.836297
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-f-verso/smthumb/,200,image/jpeg,,2917,2917,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.912436
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-f-recto/smthumb/,200,image/jpeg,,6395,6395,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.935236
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-e-verso/smthumb/,200,image/jpeg,,3460,3460,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.026791
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-h-recto/smthumb@2x/,200,image/jpeg,,19441,19441,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.088706
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-i-recto/smthumb@2x/,200,image/jpeg,,23025,23025,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.089914
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-e-recto/smthumb/,200,image/jpeg,,5047,5047,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.209608
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-g-verso/smthumb@2x/,200,image/jpeg,,9182,9182,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.211738
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-g-recto/smthumb@2x/,200,image/jpeg,,19308,19308,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.259291
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-d-verso/smthumb/,200,image/jpeg,,3592,3592,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.312274
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-i-verso/smthumb@2x/,200,image/jpeg,,8548,8548,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.325121
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-d-recto/smthumb/,200,image/jpeg,,4522,4522,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.340274
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-c-verso/smthumb/,200,image/jpeg,,4645,4645,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.421690
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-c-recto/smthumb/,200,image/jpeg,,5163,5163,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.508821
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-f-verso/smthumb@2x/,200,image/jpeg,,8884,8884,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.593668
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-e-verso/smthumb@2x/,200,image/jpeg,,9965,9965,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.616162
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-b-recto/smthumb/,200,image/jpeg,,4331,4331,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:47.731515
